,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
899,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-icf.c
900,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-icf.h
901,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-inline-analysis.c
902,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-inline-transform.c
903,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-inline.c
904,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-inline.h
906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-modref-tree.h
907,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-modref.c
909,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-param-manipulation.c
911,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-polymorphic-call.c
912,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-predicate.c
914,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-profile.c
915,0.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-prop.c
916,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-prop.h
917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-pure-const.c
918,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-ref.c
920,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-reference.c
922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ipa-split.c
923,0.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/ipa-sra.c
924,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-utils.c
925,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-utils.h
926,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa-visibility.c
927,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ipa.c
928,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/gcc/ira-build.c
929,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ira-color.c
930,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ira-conflicts.c
933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ira-int.h
934,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,../gcc-11.2.0/gcc/ira-lives.c
935,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ira.c
937,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/is-a.h
939,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/json.cc
941,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/jump.c
943,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/langhooks.c
951,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/lists.c
953,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/loop-doloop.c
954,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/loop-init.c
