,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
118,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gcse.c
119,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genattrtab.c
120,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genautomata.c
121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genextract.c
122,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype-parse.c
123,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype-state.c
124,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype.c
125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gengtype.h
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/gcc/genmatch.c
127,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genmodes.c
128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genpreds.c
129,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/genrecog.c
130,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gensupport.c
131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gentarget-def.c
132,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ggc-common.c
133,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/ggc-none.c
134,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/ggc-page.c
135,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-expr.c
