filename,added_date,authors,modified
gcc/testsuite/gcc.target/aarch64/vect-clz.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cnot_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_1.c,2019-08-14,['Richard Sandiford'],2
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_1_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_2.c,2019-08-14,"['Richard Sandiford', 'Prathamesh Kulkarni']",2
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_2_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_3.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_cnot_3_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/smax_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/smin_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/umax_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/umin_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/fmaxnm_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/fminnm_1.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_18.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_18_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_19.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_19_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_20.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_20_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_1.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_2.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_3.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_4.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_5.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/g++.target/aarch64/sve/dup_sel_6.C,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_21.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/vcond_21_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.dg/tree-ssa/pr91091-2.c,2019-07-05,['Richard Biener'],2
gcc/testsuite/gcc.dg/tree-ssa/ssa-fre-61.c,2019-07-05,['Richard Biener'],3
gcc/testsuite/gcc.dg/tree-ssa/ssa-fre-77.c,2019-07-05,['Richard Biener'],2
gcc/testsuite/lib/target-supports.exp,2018-08-17,"['Richard Biener', 'Christophe Lyon', 'Eric Botcazou', 'Ulrich Weigand', 'Jose E. Marchesi', 'Yuliang Wang', 'Sandra Loosemore', 'Kyrylo Tkachov', 'Dmitrij Pochepko', 'Jason Merrill', 'Rainer Orth', 'Richard Sandiford', 'Joel Hutton', 'Luo Xiong Hu', 'Jozef Lawrynowicz', 'Andrew Stubbs', 'Stam Markianos-Wright', 'Jakub Jelinek', 'David Malcolm', 'Mihail Ionescu', 'Hans-Peter Nilsson', 'Aaron Sawdey', 'Matthew Malcomson', 'Andrea Corallo', 'Martin Jambor', 'Tom de Vries', 'Martin Liska', 'Kewen Lin', 'Jojo R', 'liuhongt', 'H.J. Lu', 'Kito Cheng', 'Joseph Myers', 'Tamar Christina', 'Pat Haugen', 'Thomas Schwinge', 'John David Anglin', 'Andreas Krebbel', 'Jeff Law', 'Iain Sandoe', 'Alejandro Martinez', 'Bill Schmidt', 'Prathamesh Kulkarni', 'Szabolcs Nagy', 'Dimitar Dimitrov', 'Uros Bizjak', 'Hongtao Liu', 'Sam Tebbs', 'Bernhard Reutner-Fischer', 'Paul Koning', 'Chenghua Xu', 'Stafford Horne', 'Kugan Vivekanandarajah', 'Sudakshina Das', 'Ilya Leoshkevich', 'Wilco Dijkstra', 'Olivier Hainque', 'Joel Brobecker', 'Paul Fee', 'Segher Boessenkool', 'Alexandre Oliva', 'Robin Dapp', 'Tobias Burnus', 'Will Schmidt', 'Srinath Parvathaneni', 'Andre Vieira', 'Dennis Zhang', 'Iain Buclaw', 'Kelvin Nilsen', 'Michael Meissner', 'Kwok Cheung Yeung', 'Marek Polacek', 'Eugene Rozenfeld', 'Richard Earnshaw', 'Guo, Xuepeng', 'Przemyslaw Wirkus', 'Peter Bergner', 'chenglulu']",225
gcc/testsuite/gnat.dg/task5.adb,2019-08-14,['Gary Dismukes'],1
gcc/testsuite/gnat.dg/predicate12.adb,2019-08-14,['Ed Schonberg'],1
gcc/testsuite/gnat.dg/predicate12.ads,2019-08-14,['Ed Schonberg'],1
gcc/testsuite/gnat.dg/inline18.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen1-inner_g.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen1.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen1.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen2.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen2.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen3.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_gen3.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_pkg1.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_pkg1.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_pkg2-child.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/inline18_pkg2.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/assert2.adb,2019-08-14,['Ed Schonberg'],1
gcc/testsuite/gnat.dg/assert2.ads,2019-08-14,['Ed Schonberg'],1
gcc/testsuite/gnat.dg/generic_inst11.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/generic_inst11_pkg.adb,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/generic_inst11_pkg.ads,2019-08-14,['Eric Botcazou'],1
gcc/testsuite/gnat.dg/discr57.adb,2019-08-14,['Bob Duff'],1
gcc/testsuite/gnat.dg/equal11.adb,2019-08-14,['Gary Dismukes'],1
gcc/testsuite/gnat.dg/equal11_interface.ads,2019-08-14,['Gary Dismukes'],1
gcc/testsuite/gnat.dg/equal11_record.adb,2019-08-14,['Gary Dismukes'],1
gcc/testsuite/gnat.dg/equal11_record.ads,2019-08-14,['Gary Dismukes'],1
gcc/testsuite/gnat.dg/inline19.adb,2019-08-14,['Bob Duff'],1
gcc/testsuite/gnat.dg/inline19.ads,2019-08-14,['Bob Duff'],1
gcc/testsuite/gnat.dg/warn27.adb,2019-08-14,['Bob Duff'],1
gcc/testsuite/gnat.dg/alignment15.adb,2019-08-14,['Bob Duff'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_1.c,2019-08-14,['Richard Sandiford'],3
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_1_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_2.c,2019-08-14,"['Richard Sandiford', 'Prathamesh Kulkarni']",4
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_2_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_3.c,2019-08-14,['Richard Sandiford'],2
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_3_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_4.c,2019-08-14,"['Richard Sandiford', 'prathamesh.kulkarni']",3
gcc/testsuite/gcc.target/aarch64/sve/cond_unary_4_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_1.c,2019-08-14,"['Richard Sandiford', 'Prathamesh Kulkarni']",3
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_1_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_2.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_2_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_3.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_3_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_4.c,2019-08-14,"['Richard Sandiford', 'Prathamesh Kulkarni']",3
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_4_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_5.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_5_run.c,2019-08-14,['Richard Sandiford'],1
gcc/testsuite/gcc.target/aarch64/sve/cond_convert_6.c,2019-08-14,['Richard Sandiford'],1
